Health C_1,BHCMIS Org,BPHC Assig,Site Name,Site Addre,Site City,Site State,Geocoding,Geocodin_1
H80CS08730,930080,BPS-H80-015285,Olympic High School,721 Ocean Park Blvd,Santa Monica,CA,-118.4769404,34.00666945
H80CS00062,20500,BPS-H80-007624,Irvington Community Health Center,1150 Springfield Ave,Irvington,NJ,-74.23619562,40.72540458
H80CS00393,43340,BPS-H80-008489,CareConnect Family Practice,23 Old School Rd,Georgetown,GA,-85.10064,31.88371001
H80CS07502,625340,BPS-H80-012100,KIPP Southwest Campus,10711 Kipp Way Dr,Houston,TX,-95.56541401,29.67095249
H80CS28344,04E00479,BPS-H80-015111,Banyan Community Health Center - W. Flagler,3800 W Flagler St,Coral Gables,FL,-80.25770325,25.77179
H80CS00701,31000,BPS-H80-031743,Tug River Heatlh --Princeton,200 12th St,Princeton,WV,-81.11464581,37.36225498
H80CS00873,910370,BPS-H80-029840,SJWCFC Rolland Curtis Gardens Health Center,1060 Exposition Blvd,Los Angeles,CA,-118.2933099,34.01813273
H80CS29004,05E01170,BPS-H80-027885,Howard Brown Health 55th Street,5500 S Lake Park Ave Fl 1,Chicago,IL,-87.58759778,41.79515457
H80CS00006,11210,BPS-H80-005774,Transitions,211 River St Bldg M,Mattapan,MA,-71.08178599,42.27345199
H80CS00219,81450,BPS-H80-008936,Falls Community Health School Based Health Services/Terry Redlin,1722 E 8th St,Sioux Falls,SD,-96.70457911,43.54895352
H80CS33884,83930,BPS-H80-030488,Parker Medical Center,2363 W Mt Highway 200,Lincoln,MT,-112.6967084,46.9550133
H80CS00049,91070,BPS-H80-002747,MISSION NEIGHBORHOOD HEALTH CTR,240 Shotwell St,San Francisco,CA,-122.4163338,37.76461777
H80CS02445,310560,BPS-H80-000557,JOHNSON HEALTH CENTER,320 Federal St,Lynchburg,VA,-79.15163954,37.41614639
H80CS00449,31230,BPS-H80-001235,"CLINCH RIVER HEALTH SERVICES, INC.",17633 Veterans Memorial Hwy Ste 101,Dungannon,VA,-82.48908808,36.81935623
H80CS00390,52910,BPS-H80-030074,Family Medical Center of MI  - Madison Schools,3498 Treat Hwy Rm 35,Adrian,MI,-84.01847687,41.86856898
H80CS25680,01E01028,BPS-H80-021126,Greater Portland Health at Reiche Community School,166 Brackett St,Portland,ME,-70.26713482,43.65090068
H80CS00006,11210,BPS-H80-030140,Engagement Center,120 Southampton St,Boston,MA,-71.06826698,42.33227899
H80CS26893,04E01116,BPS-H80-013911,"Gateway Community Health Centers, Inc.",2869 Virginia Rd,Tyner,NC,-76.65409358,36.2346003
H80CS00559,101270,BPS-H80-001428,Alicia Roberts Medical Center,Klawock Hollis Hwy,Klawock,AK,-133.0966455,55.55075218
H80CS00226,91160,BPS-H80-031944,Salud at 112 East Beach,112 E Beach St,Watsonville,CA,-121.7550654,36.91157212
H80CS06643,318410,BPS-H80-029876,POWER,907 West St Ste 2,Wilkinsburg,PA,-79.89006828,40.44452378
H80CS00311,10150,BPS-H80-018814,Winooski Family Health,32 Malletts Bay Ave,Winooski,VT,-73.19059345,44.49298456
H80CS00751,511020,BPS-H80-017614,12th Street Urgent Care,945 N 12th St,Milwaukee,WI,-87.92718748,43.04242899
H80CS00848,612740,BPS-H80-014273,NeoHealth Business Office,127 E Main St,Hulbert,OK,-95.14345977,35.93279735
H80CS00599,70270,BPS-H80-029770,Mobile Dental Unit,3801 Blue Pkwy,Kansas City,MO,-94.53995379,39.035925
H80CS26601,10E00721,BPS-H80-018070,Family Medicine Health Center - Emerald,6565 W Emerald St,Boise,ID,-116.2631986,43.61193472
H80CS26568,05E01106,BPS-H80-013114,"Regional Community Health Center, Homeless Site",527 State St,Hammond,IN,-87.51581734,41.61820337
H80CS02454,614360,BPS-H80-027671,FHCSO - Kingston,21 N Main St,Kingston,OK,-96.71965841,33.99871065
H80CS08773,1016960,BPS-H80-006735,UCNW Mobile,220 Unity St,Bellingham,WA,-122.4766281,48.75356784
H80CS00737,76290,BPS-H80-011663,OneWorld West,4101 S 120th St,Omaha,NE,-96.10072962,41.21968335
H80CS00099,44710,BPS-H80-009147,West Mobile Family Medical Center,801 S University Blvd Ste D,Mobile,AL,-88.16690078,30.66368591
H80CS00687,33780,BPS-H80-000764,COOKE FAMILY HEALTH CENTER,1300 W Loudon St,Philadelphia,PA,-75.14542187,40.02580373
H80CS08784,537600,BPS-H80-016866,NorthLakes - Ashland Downtown,300 Main St W,Ashland,WI,-90.88602026,46.5902356
H80CS00138,90780,BPS-H80-030442,"Community Medical Centers, Sutter Street",1800 S Sutter St Ste 11B,Stockton,CA,-121.2805843,37.93404981
H80CS00693,40380,BPS-H80-003774,WEWAHITCHKA MEDICAL CENTER,255 W River Rd,Wewahitchka,FL,-85.20256403,30.10589753
H80CS00742,90470,BPS-H80-027683,GVHC � Manteca Northgate West,302 Northgate Dr,Manteca,CA,-121.2206289,37.81902108
H80CS08221,526110,BPS-H80-027946,Heart City Health Dental,2100 Superior St,Elkhart,IN,-85.94375108,41.68939343
H80CS00478,44920,BPS-H80-019762,CFMC Urgent Care,439 US Highway 158 W Ste B,Yanceyville,NC,-79.35817673,36.41713429
H80CS02331,108170,BPS-H80-014419,Heritage Health Post Falls,925 E Polston Ave,Post Falls,ID,-116.9352755,47.71457885
H80CS00699,41190,BPS-H80-001803,RUTH P. FIELD MEDICAL CENTER,719 N Okatie Hwy,Ridgeland,SC,-80.87219837,32.36085148
H80CS00326,12080,BPS-H80-018617,Lewin G Joel School SBHC,137A Glenwood Rd,Clinton,CT,-72.52455397,41.30430897
H80CS00340,510700,BPS-H80-028202,Open Door Health Services Behavioral Health,1804 W Royale Dr,Muncie,IN,-85.407851,40.21606201
H80CS00487,42440,BPS-H80-009513,"Familly Health Care Clinic, Inc.--Muscle Shoals",102 Physicians Dr Ste B,Muscle Shoals,AL,-87.67895391,34.74687325
H80CS02326,91220,BPS-H80-031079,Gilroy Health Clinic,9460 N Name Uno Ste 110,Gilroy,CA,-121.570966,37.03778301
H80CS00367,40600,BPS-H80-011946,Whitesburg Middle School Based Clinic,366 Parks St,Whitesburg,KY,-82.83173519,37.12037208
H80CS08218,452070,BPS-H80-017111,Cumberland County Elementary Healthy Kids Clinic,150 Glasgow Rd,Burkesville,KY,-85.36942223,36.79362621
H80CS28364,09E01155,BPS-H80-015132,Cares Community Health,1500 21st St Bldg B,Sacramento,CA,-121.4813254,38.57055662
H80CS00472,21610,BPS-H80-018485,Bronx Medical and Wellness Center,1227 Edward L Grant Hwy,Bronx,NY,-73.92240719,40.83655721
H80CS00481,100450,BPS-H80-001453,Information Technology &amp; Training,1102 S I St,Tacoma,WA,-122.4488773,47.25214179
H80CS00519,82240,BPS-H80-031836,Salina Family Medicine Clinic,131 E Main St # 3,Salina,UT,-111.8577796,38.95758752
H80CS10748,91080,BPS-H80-030968,San Ysidro Health Community Heights Family Medicine,4690 El Cajon Blvd,San Diego,CA,-117.0932193,32.75594234
H80CS00139,91000,BPS-H80-024946,Pacoima Women's Health Center,12759 Van Nuys Blvd,Pacoima,CA,-118.411277,34.27404158
H80CS00393,43340,BPS-H80-017823,CareConnect School Clinic,218 E Main St,Butler,GA,-84.21914399,32.55399899
H80CS10748,91080,BPS-H80-001488,San Ysidro Health Mobile Health Services 1F,4004 Beyer Blvd,San Ysidro,CA,-117.0474842,32.55830858
H80CS00084,40750,BPS-H80-005948,JACKSON-HINDS VAN WINKLE ELEM SCHOOLBASE CLINIC,1655 Whiting Rd,Jackson,MS,-90.2658931,32.30042875
H80CS00679,51980,BPS-H80-010971,AHC Tiger Health Extension - Alcona Middle & High School,51 N Barlow Rd,Harrisville,MI,-83.40297416,44.65666164
H80CS00313,21510,BPS-H80-010675,LIFQHC Roosevelt,380 Nassau Rd,Roosevelt,NY,-73.59083846,40.68181072
H80CS00650,40940,BPS-H80-028384,Blue Ridge Health-Lake Lure Classical Academy,1058 Island Creek Rd,Lake Lure,NC,-82.19313498,35.4083
H80CS00448,91300,BPS-H80-032624,Canyonlands Healthcare - Mesquite,210 N Sandhill Blvd,Mesquite,NV,-114.0645825,36.80690897
H80CS12858,9.00E+05,BPS-H80-015026,Bell Gardens High School - School Based Health Center,6119 Agra St,Bell Gardens,CA,-118.1541979,33.9756192
H80CS06674,921430,BPS-H80-027377,LACHC Joshua House Annex at 339 Winston St.,339 Winston St,Los Angeles,CA,-118.2439808,34.0451689
H80CS00817,101230,BPS-H80-017016,VIRGINIA GARCIA MEMORIAL HEALTH CENTER- NEWBERG DENTAL,2251 E Hancock St Ste 106,Newberg,OR,-122.95676,45.30122751
H80CS10607,9.00E+65,BPS-H80-007674,"Comprehensive Community Health Centers, Inc-Highland Park",5059 York Blvd,Los Angeles,CA,-118.2058261,34.12129925
H80CS00200,59880,BPS-H80-000854,Lincoln Heights Health Center,1401 Steffen Ave,Cincinnati,OH,-84.45262182,39.23931117
H80CS00293,45630,BPS-H80-019676,Kintegra Family Medicine  - Thomasville,611 Randolph St,Thomasville,NC,-80.07613396,35.87403701
H80CS00075,32600,BPS-H80-006153,Lisa Elliott Health Center,75 Spyrock Loop Rd,Lookout,WV,-80.97459879,38.0657425
H80CS00744,67230,BPS-H80-002293,HMS  MED SQUARE CLINIC,114 W 11th St,Silver City,NM,-108.2768919,32.77673243
H80CS00445,101020,BPS-H80-024906,Sea Mar CHC - Olympia Ensign Rd NE,3622 Ensign Rd NE,Olympia,WA,-122.8432984,47.05101711
H80CS26893,04E01116,BPS-H80-013914,"Gateway Community Health Centers, Inc.",088 US Highway 158 W,Gatesville,NC,-76.70468118,36.44731967
H80CS12851,9.00E+08,BPS-H80-015329,"All For Health, Health For All - Pediatrics",1030 S Glendale Ave Ste 307,Glendale,CA,-118.25134,34.13383301
H80CS00050,91120,BPS-H80-018907,Martinez Health Center-Specialty 3A,2500 Alhambra Ave,Martinez,CA,-122.1309272,38.0064845
H80CS00479,30700,BPS-H80-000882,CVHS Petersburg,321 Poplar Dr Ste C,Petersburg,VA,-77.36283797,37.18942727
H80CS06452,442450,BPS-H80-009000,Freeport Clinic,479 State Highway 20 E,Freeport,FL,-86.12907856,30.49480807
H80CS00070,37020,BPS-H80-031797,Temporary Site - Minnesota Ave Health Center,3946 Minnesota Ave NE,Washington,DC,-76.95010166,38.89440004
H80CS00829,100640,BPS-H80-016970,Garfield High School,400 23rd Ave,Seattle,WA,-122.3025188,47.60481502
H80CS00470,47430,BPS-H80-032536,GHMS Administrative Annex,210 Hudson St Ste 300,Cumming,GA,-84.14164525,34.20813334
H80CS12881,3.00E+38,BPS-H80-008356,North Side Christian Health Center,816 Middle St,Pittsburgh,PA,-79.99955086,40.45518002
H80CS28354,05E01147,BPS-H80-019418,OIHN Plum Hollow Center,22200 W 9 Mile Rd,Southfield,MI,-83.26232662,42.45787994
H80CS26562,07E01086,BPS-H80-028174,Heartland Health Center Quick Care,423 W 4th St,Grand Island,NE,-98.34594895,40.92677381
H80CS00345,30790,BPS-H80-017362,AccessHealth Raleigh Psychiatric Services,28 Mallard Ct,Beckley,WV,-81.16043129,37.79911735
H80CS00529,31160,BPS-H80-003405,HANOVER CENTER,1230 High St,Hanover,PA,-77.00288485,39.8237985
H80CS00685,59720,BPS-H80-007744,Watseka Community Health Center,200 E Walnut St,Watseka,IL,-87.73266424,40.77634732
H80CS00590,90660,BPS-H80-000971,EXCELSIOR CLINIC,4434 Mission St,San Francisco,CA,-122.4333079,37.72671145
H80CS00633,46860,BPS-H80-001869,ACCESS Family Health Services Administrative Office,63450 Highway 25 N,Smithville,MS,-88.39587504,34.06914978
H80CS00807,90990,BPS-H80-016815,Waianae Vision Care,86-120 Farrington Hwy Ste C301,Waianae,HI,-158.184942,21.43594908
H80CS00049,91070,BPS-H80-027951,Castro Mission Health Center @ ZSFG,995 Potrero Ave # W81,San Francisco,CA,-122.4066784,37.75729713
H80CS00254,30850,BPS-H80-031973,"Lincoln Co. Primary Care Center, Inc. -  Billing Office",353 Walnut St,Hamlin,WV,-82.10325567,38.27829215
H80CS00207,60940,BPS-H80-031633,KentuckyCare - 44,3360 Wayne Sullivan Dr,Paducah,KY,-88.56468822,37.05344061
H80CS08230,11440,BPS-H80-006179,CABOT HEALTH SERVICES SBHC,25 Common Rd,Cabot,VT,-72.30957379,44.40335838
H80CS33795,92640,BPS-H80-029572,County of Monterey - NIDO,1441 Constitution Blvd Bldg 760,Salinas,CA,-121.6316126,36.69591564
H80CS00871,910240,BPS-H80-003570,QueensCare Health Centers,150 N Reno St,Los Angeles,CA,-118.2803948,34.07277579
H80CS00437,102530,BPS-H80-019301,ICHS Mobile Dental Clinic,720 8th Ave S,Seattle,WA,-122.3224215,47.59628015
H80CS12863,6.00E+20,BPS-H80-021820,St. Thomas Community Health Center Administrative & Service Site,2042 Magazine St,New Orleans,LA,-90.07545787,29.93040114
H80CS00085,40780,BPS-H80-006883,DELTA HEALTH CENTER SATELLITE,110 E Washington St,Moorhead,MS,-90.50639404,33.45017537
H80CS00001,10120,BPS-H80-027777,Springfield Dept. Health &amp; Human Services/HSH Health Center &amp; Dental Clinics,311 State St,Springfield,MA,-72.58125407,42.10502917
H80CS00212,81460,BPS-H80-027295,Health Center at Jet Wing,1815 Jet Wing Dr,Colorado Springs,CO,-104.7416884,38.80817289
H80CS08749,322430,BPS-H80-004143,MARTINSVILLE HENRY CNTY COALITION HHS,22 E Church St Ste 311,Martinsville,VA,-79.87231843,36.69073144
H80CS00293,45630,BPS-H80-028395,Kintegra at CaroMont Womens Health - Summit,620 Summit Crossing Pl,Gastonia,NC,-81.14509852,35.27369426
H80CS08218,452070,BPS-H80-027017,Meadow View Healthy Kids Clinic,1255 W Vine St,Radcliff,KY,-85.95611196,37.82722501
H80CS24177,04E00519,BPS-H80-014426,Cahaba Medical Care - Woodstock Office,28921 Highway 5,Woodstock,AL,-87.16418667,33.21449708
H80CS00587,97880,BPS-H80-031356,Point Reyes Community Health Center,3 Sixth St,Point Reyes Station,CA,-122.808405,38.06910398
H80CS00714,30440,BPS-H80-000587,WEST END HEALTH CENTER,415 Neptune St,Pittsburgh,PA,-80.03304326,40.44068189
H80CS00731,70300,BPS-H80-014936,Macon Family Health,209 N Missouri St,Macon,MO,-92.46530962,39.73968065
H80CS00259,98790,BPS-H80-011935,Pediatric Campus,711 Stony Point Rd Ste 17,Santa Rosa,CA,-122.7416468,38.42917382
H80CS25684,04E00551,BPS-H80-031227,C. L. Brumback Primary Care Clinic - Mobile 2 Clinic,1150 45th St,West Palm Beach,FL,-80.06924403,26.75311246
H80CS00488,13240,BPS-H80-021376,KVHC Milo Elementary,18 Belmont St,Milo,ME,-68.9817796,45.25066315
H80CS00785,42780,BPS-H80-011836,Laurens Community Care Medical Home Referral Center,22725 Highway 76 E,Clinton,SC,-81.94051096,34.48157801
H80CS22681,5.00E+101,BPS-H80-010759,"Southeast Inc., Long Street",16 W Long St,Columbus,OH,-83.00175034,39.96490901
H80CS00713,50900,BPS-H80-030958,Stevens Point Administrative Site,5709 Windy Dr Ste A,Stevens Point,WI,-89.50471916,44.52465256
H80CS00139,91000,BPS-H80-012344,Transitions to Wellness,6551 Van Nuys Blvd Ste 201,Van Nuys,CA,-118.4487575,34.18990798
H80CS09469,8.00E+54,BPS-H80-012433,Coal Country Community Health Center - Administrative Office,1101 3rd Ave NW,Beulah,ND,-101.7819612,47.27352759
H80CS00467,41440,BPS-H80-002462,MOUNTAIN PEOPLE'S ONEIDA CLINIC,460 Industrial Ln,Oneida,TN,-84.52287236,36.4992977
H80CS00191,50580,BPS-H80-003439,SUPERIOR HEALTH CENTER,12100 Superior Ave,Cleveland,OH,-81.60123984,41.52300276
H80CS00033,51880,BPS-H80-010584,Children's Dental Center - 3rd Floor,79 W Alexandrine St,Detroit,MI,-83.06128105,42.350048
H80CS02592,1010810,BPS-H80-017019,Alsea Rural Health Center,435 E Alder St,Alsea,OR,-123.5940274,44.3826117
H80CS00732,40330,BPS-H80-017013,Biscayne Gardens Elementary School,560 NW 151st St,Miami,FL,-80.20881429,25.91313788
H80CS00380,20930,BPS-H80-000865,BUTTONWOOD,600 Pemberton Browns Mills Rd,Pemberton,NJ,-74.63813302,39.96657548
H80CS07928,13600,BPS-H80-018771,Seaport,505 Congress St,Boston,MA,-71.04105287,42.34796149
H80CS00767,60180,BPS-H80-003423,TECHE ACTION CLINIC,1115 Weber St,Franklin,LA,-91.50521785,29.7989216
H80CS00164,21270,BPS-H80-028090,CompleteCare Health Network,905 W Main St,Millville,NJ,-75.05964319,39.39819676
H80CS00411,47000,BPS-H80-031109,HCPSC School Based Health at Johnsonville High School,237 S Georgetown Hwy,Johnsonville,SC,-79.44192195,33.81577159
H80CS29018,02E00868,BPS-H80-021874,PS 86,8741 Parsons Blvd,Jamaica,NY,-73.80324402,40.70847358
H80CS00623,81740,BPS-H80-003505,UNCOMPAHGRE COMBINED CLINICS,1350 S Aspen St,Norwood,CO,-108.2976391,38.12933114
H80CS00754,68480,BPS-H80-004929,PHSC MOBILE HEALTH UNIT #2,2913 Desiard St,Monroe,LA,-92.08747245,32.51946395
H80CS00293,45630,BPS-H80-010157,Kintegra Family Medicine - Highland,609 N Highland St,Gastonia,NC,-81.19403358,35.27127248
H80CS00862,78030,BPS-H80-017997,Schuyler High School,401 Adam St,Schuyler,NE,-97.06107757,41.44058273
H80CS00636,100160,BPS-H80-001423,SANE SOLUTIONS- ADA,408 N Allumbaugh St,Boise,ID,-116.2662468,43.60845921
H80CS00188,42430,BPS-H80-031513,SBHC - St. Martin,10700 Yellow Jacket Rd,Ocean Springs,MS,-88.79435011,30.43170686
H80CS00205,63450,BPS-H80-018621,PMS - Espanola Family Wellness Center,1200 N Paseo De Onate,Espanola,NM,-106.0876824,36.00711163
H80CS00293,45630,BPS-H80-030344,Kintegra at North Davie Middle,497 Farmington Rd,Mocksville,NC,-80.53331498,35.96555206
H80CS26631,2.00E+291,BPS-H80-021560,Casa Maria Community Health Center,324 E 149th St,Bronx,NY,-73.92064557,40.81682432
H80CS24115,09E00427,BPS-H80-028381,The Center at Blessed Sacrament,6636 Selma Ave,Los Angeles,CA,-118.3344756,34.09968211
H80CS00453,11640,BPS-H80-001600,MANET CHC AT HULL,180 George Washington Blvd,Hull,MA,-70.86061145,42.26304636
H80CS00814,96010,BPS-H80-018125,710 North King Street,710 N King St,Honolulu,HI,-157.8661036,21.32034055
H80CS29000,01E01212,BPS-H80-018827,UCFS at Stanton Network Elementary School,386 New London Tpke,Norwich,CT,-72.10312374,41.5225444
H80CS00279,612200,BPS-H80-011502,Ouachita River Health Center: Acorn Campus,139 School Ln,Mena,AR,-94.20880147,34.63588658
H80CS26510,08E00393,BPS-H80-030804,Dove Creek Integrated Healthcare,495 W 4th St,Dove Creek,CO,-108.913962,37.76503255
H80CS01765,28480,BPS-H80-017510,Third Avenue Family Health Center,2604 3rd Ave,Bronx,NY,-73.92518873,40.81211914
H80CS00047,90870,BPS-H80-017576,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY -- HEALTH CARE FOR THE HOMELESS PROGRAM -- ADMINISTRATIVE OFFICES,1404 Franklin St Ste 200,Oakland,CA,-122.2697944,37.80405785
H80CS00309,413090,BPS-H80-010188,CHS Sevierville Primary School Clinic,1146 Blanton Dr,Sevierville,TN,-83.54153183,35.85267569
H80CS00138,90780,BPS-H80-002964,"Community Medical Centers, Dixon",131 W A St,Dixon,CA,-121.8232882,38.44553643
H80CS00649,44790,BPS-H80-031832,Mobile Outreach Unit #1,205 Jenkins Rd,Rossville,GA,-85.28501027,34.9401402
H80CS00202,60240,BPS-H80-003462,FCCH/BELEN CENTER,120 S 9th St,Belen,NM,-106.7789067,34.66031803
H80CS00314,12160,BPS-H80-001104,GLFHC-NORTH,150 Park St,Lawrence,MA,-71.16616049,42.71588555
H80CS24113,09E00477,BPS-H80-031296,Elica Health Centers - Mack Road,6339 Mack Rd,Sacramento,CA,-121.4285261,38.47558455
H80CS06673,925360,BPS-H80-000087,JWCH PATH CLINIC,340 N Madison Ave,Los Angeles,CA,-118.2891499,34.07745863
H80CS04211,213350,BPS-H80-004975,Zufall Health Center - Dover Dental Center,17 S Warren St,Dover,NJ,-74.559332,40.88348484
H80CS00582,48800,BPS-H80-030339,Jefferson Comprehensive Health Center Medical/Dental Mobile Unit,405 Main St,Fayette,MS,-91.07452653,31.70324954
H80CS00663,34060,BPS-H80-008807,New Castle Dental Center,2807 Wilmington Rd,New Castle,PA,-80.35702595,41.03888097
H80CS33652,07E01289,BPS-H80-031824,"Vibrant Health - Cordell D. Meeks, Jr. Clinic",4313 State Ave,Kansas City,KS,-94.67854303,39.11661251
H80CS00610,45770,BPS-H80-019211,Seminary Middle School,200 W Main St Bldg 2,Seminary,MS,-89.49872492,31.56172067
H80CS24140,02E00488,BPS-H80-012224,"Southern Tier Community Health Center Network, Olean site",135 N Union St,Olean,NY,-78.43075312,42.07865731
H80CS00030,51830,BPS-H80-008221,Cedar Community Health Center,5303 S Cedar St,Lansing,MI,-84.54511797,42.68106801
H80CS00295,14060,BPS-H80-000693,HEALTH FIRST FHC - LACONIA SITE,22 Strafford St,Laconia,NH,-71.46434091,43.53295171
H80CS00097,44310,BPS-H80-026006,AMA Arcadia,425 Nursing Home Dr,Arcadia,FL,-81.85045504,27.22817744
H80CS08218,452070,BPS-H80-031563,First Choice McCreary,1784 N Highway 27,Whitley City,KY,-84.48801235,36.81015623
H80CS00058,10720,BPS-H80-029715,282 Meridian Street,282 Meridian St,Boston,MA,-71.03919867,42.37659532
H80CS00576,40400,BPS-H80-018889,Southside Medical Center - Forest Park Clinic,4945 Governors Dr,Forest Park,GA,-84.37637123,33.62013319
H80CS01128,106180,BPS-H80-018505,C�eyiits� Hwnax Life House Community Health Center,11495 N Callison St,Sutton,AK,-148.9066432,61.7133261
H80CS00421,412790,BPS-H80-017968,Mobile Unit 2,2880 Camp Creek Rd,Greeneville,TN,-82.76378392,36.0621019
H80CS00313,21510,BPS-H80-027218,Westchester Square Health Center,2510 Westchester Ave Ste 202,Bronx,NY,-73.84352359,40.8394506
H80CS00443,10040,BPS-H80-019458,MIGRANT VOUCHER & MOBILE MEDICAL VAN STATEWIDE,9 Green St,Augusta,ME,-69.77652535,44.31233112
H80CS00799,83270,BPS-H80-011420,Community Health Center Pharmacy,1145 S Montana St,Butte,MT,-112.5390895,45.99830916
H80CS00114,53200,BPS-H80-006922,Dayspring Center Clinic,1537 Central Ave,Indianapolis,IN,-86.14935815,39.78762935
H80CS00507,45180,BPS-H80-027161,"Community Health Care Systems, Inc. - Taliaferro",557A Broad St NW,Crawfordville,GA,-82.91055825,33.55787452
H80CS00107,49000,BPS-H80-031352,Red Springs Health Center,302 Mount Tabor Rd,Red Springs,NC,-79.16975448,34.81166135
H80CS00614,30880,BPS-H80-004113,VALLEY HEALTH - HUNTINGTON,1301 Hal Greer Blvd,Huntington,WV,-82.42854124,38.41050829
H80CS28995,09E01159,BPS-H80-015517,"Unicare Community Health Center, Inc. - Pomona",1501 E Holt Ave Ste A,Pomona,CA,-117.7205907,34.06322092
H80CS00178,41720,BPS-H80-015549,Casselberry Health Center,1120 State Road 436,Casselberry,FL,-81.32163314,28.63795224
H80CS28967,09E01169,BPS-H80-024829,Hope Christian Health Center MLK,4040 N Martin L King Blvd Ste B,North Las Vegas,NV,-115.1619025,36.23307097
H80CS00719,68160,BPS-H80-005017,Waco Family Medicine � Meyer Center,1226 Washington Ave,Waco,TX,-97.13969644,31.55153917
H80CS00323,20670,BPS-H80-010861,Clinica de Salud Familiar de Rio Grande,16 Calle Pimentel,Rio Grande,PR,-65.83770014,18.37871195
H80CS00360,101300,BPS-H80-010145,HealthPoint Bothell,10414 Beardslee Blvd,Bothell,WA,-122.2005245,47.76066499
H80CS00800,33180,BPS-H80-001479,TENCH TILGHMAN K-8 SCHOOL,600 N Patterson Park Ave,Baltimore,MD,-76.58510121,39.29799962
H80CS00668,53110,BPS-H80-019045,IHC at Four County,421 12th St,Logansport,IN,-86.35450206,40.75403712
H80CS00776,93410,BPS-H80-032201,Temporary Site - Kokua Kalilhi Valley Comprehensive Family Services,1860 N King St,Honolulu,HI,-157.8768276,21.33156354
H80CS10590,7.00E+59,BPS-H80-028239,Midtown Health Center - Washington Elementary School,1205 S 2nd St,Norfolk,NE,-97.40822364,42.01934969
H80CS00445,101020,BPS-H80-008046,Sea Mar CHC - Bellevue 156th Ave. NE,1811 156th Ave NE Ste 2,Bellevue,WA,-122.1324275,47.626339
H80CS00141,93070,BPS-H80-031813,Temporary Site - Mountain Park Health Center - Goodyear WIC,140 N Litchfield Rd Ste 100,Goodyear,AZ,-112.3583031,33.44799338
H80CS08774,1014910,BPS-H80-010702,Naches Medical Center,102 E 2nd St,Naches,WA,-120.6989238,46.73088804
H80CS00218,80060,BPS-H80-027465,Rose Andom Health Center,1330 Fox St,Denver,CO,-104.9952645,39.73761523
H80CS12872,9.00E+03,BPS-H80-021710,WellSpace Health - Arden Arcade Community Health Center,2433 Marconi Ave,Sacramento,CA,-121.4045602,38.61940216
H80CS00786,93640,BPS-H80-021390,Family HealthCare Network - Hanford 5th Street Health Center,250 W 5th St,Hanford,CA,-119.6475575,36.32435174
H80CS00614,30880,BPS-H80-031059,Valley Health- KidCare,4407 Maccorkle Ave SE Bldg,Charleston,WV,-81.5850124,38.32333205
H80CS00147,100460,BPS-H80-021417,Othello Clinic,1515 E Columbia St,Othello,WA,-119.1684236,46.81273733
H80CS00330,30220,BPS-H80-032769,BTAMC Belleville Wellness Center,375 S Kishacoquillas St,Belleville,PA,-77.7118885,40.59965579
H80CS04291,14580,BPS-H80-009214,Hope House,181 Corporate Dr,Bangor,ME,-68.80664024,44.80408992
H80CS00051,91140,BPS-H80-005603,South County Community Health Center (Dba; Ravenswood Family Health Center),1798 Bay Rd,East Palo Alto,CA,-122.1343599,37.47183659
H80CS07914,218870,BPS-H80-000798,PS 169 School-Based Health Center,4305 7th Ave,Brooklyn,NY,-74.00201792,40.64612355
H80CS00745,102270,BPS-H80-002121,INTERIOR COMMUNITY HEALTH CENTER,Usibelli Spur Road,Healy,AK,-148.99947,63.87158
H80CS12866,2.00E+28,BPS-H80-008294,Beacon Christian Community Health Center,2079 Forest Ave,Staten Island,NY,-74.15865122,40.62634666
H80CS00211,74020,BPS-H80-001379,CROSS TRAILS MEDICAL CENTER,109 State Highway 51 N,Marble Hill,MO,-89.97645402,37.30619921
H80CS00419,50640,BPS-H80-017989,Family Health Behavioral Health and Wellness,1101 Jackson St Ste C,Greenville,OH,-84.62753253,40.08619201
H80CS00858,27710,BPS-H80-027862,AtlantiCare Health Services - FQHC,1401 Atlantic Ave Ste 1600,Atlantic City,NJ,-74.42885393,39.36186289
H80CS00621,90710,BPS-H80-006403,CHC SLO HOMELESS MOBILE MEDICAL 3,2801 Santa Maria Way,Santa Maria,CA,-120.4340002,34.90922447
H80CS00605,60330,BPS-H80-002650,SAN MIGUEL CLINIC,275 NM-3,Ribera,NM,-105.450128,35.36386904
H80CS28346,04E01146,BPS-H80-015126,CCHD - Craven County Community Health Center,2818 Neuse Blvd,New Bern,NC,-77.08334903,35.1222878
H80CS00833,32900,BPS-H80-002712,FAIRMOUNT PRIMARY CARE CENTER,1412 Fairmount Ave,Philadelphia,PA,-75.1614021,39.96706295
H80CS00201,50990,BPS-H80-013763,HealthSource Washington Court House,308 Highland Ave,Washington Court House,OH,-83.44294347,39.53001464
H80CS00668,53110,BPS-H80-014002,IHC at Grant-Blackford,206 W 8th St,Marion,IN,-85.661722,40.55423748
H80CS26595,04E01090,BPS-H80-019523,"Community Medical Clinic, Hopkinsville",1102 S Virginia St,Hopkinsville,KY,-87.4886391,36.86401174
